Timestamp,Name,Price,24h Change,Market Cap
2026-02-24 20:38:53,CoinMarketCap 20 Index DTF,$129.79,0.59%,$12.75M
2026-02-24 20:38:53,Bitcoin,"$63,452.42",0.97%,$1.27T
2026-02-24 20:38:53,Ethereum,"$1,836.71",1.18%,$221.09B
2026-02-24 20:38:53,Tether,$0.9999,0.01%,$183.61B
2026-02-24 20:38:54,XRP,$1.33,0.44%,$81.54B
2026-02-24 20:38:54,BNB,$582.08,0.11%,$79.37B
2026-02-24 20:38:54,USDC,$0.9997,0.03%,$74.7B
2026-02-24 20:38:54,Solana,$76.81,0.34%,$43.68B
2026-02-24 20:38:54,TRON,$0.2803,0.15%,$26.56B
2026-02-24 20:38:54,Dogecoin,$0.09137,0.61%,$15.43B
2026-02-24 20:39:26,CoinMarketCap 20 Index DTF,$129.79,0.59%,$12.75M
2026-02-24 20:39:26,Bitcoin,"$63,452.42",0.97%,$1.27T
2026-02-24 20:39:27,Ethereum,"$1,836.71",1.18%,$221.09B
2026-02-24 20:39:27,Tether,$0.9999,0.01%,$183.61B
2026-02-24 20:39:27,XRP,$1.33,0.44%,$81.54B
2026-02-24 20:39:27,BNB,$582.08,0.11%,$79.37B
2026-02-24 20:39:27,USDC,$0.9997,0.03%,$74.7B
2026-02-24 20:39:27,Solana,$76.81,0.34%,$43.68B
2026-02-24 20:39:28,TRON,$0.2803,0.15%,$26.56B
2026-02-24 20:39:28,Dogecoin,$0.09137,0.61%,$15.43B
2026-02-27 19:16:58,CoinMarketCap 20 Index DTF,$135.64,0.44%,$13.26M
2026-02-27 19:16:58,Bitcoin,"$65,860.05",0.12%,$1.31T
2026-02-27 19:16:58,Ethereum,"$1,951.56",0.38%,$235B
2026-02-27 19:16:58,Tether,$1.00,0.00%,$183.56B
2026-02-27 19:16:58,XRP,$1.36,0.91%,$83.48B
2026-02-27 19:16:58,BNB,$611.61,0.69%,$83.4B
2026-02-27 19:16:58,USDC,$0.9998,0.02%,$75.23B
2026-02-27 19:16:58,Solana,$82.29,1.05%,$46.82B
2026-02-27 19:16:58,TRON,$0.2839,0.20%,$26.9B
2026-02-27 19:16:59,Dogecoin,$0.09425,0.89%,$15.92B
2026-02-27 20:38:40,CoinMarketCap 20 Index DTF,$135.74,0.01%,$13.27M
2026-02-27 20:38:40,Bitcoin,"$66,096.99",0.21%,$1.32T
2026-02-27 20:38:40,Ethereum,"$1,951.58",0.42%,$234.59B
2026-02-27 20:38:40,Tether,$0.9999,0.03%,$183.55B
2026-02-27 20:38:40,BNB,$611.56,0.40%,$83.39B
2026-02-27 20:38:40,XRP,$1.36,0.69%,$83.09B
2026-02-27 20:38:40,USDC,$0.9999,0.04%,$75.22B
2026-02-27 20:38:40,Solana,$82.38,0.82%,$46.87B
2026-02-27 20:38:41,TRON,$0.2838,0.08%,$26.89B
2026-02-27 20:38:41,Dogecoin,$0.09398,0.91%,$15.87B
